run_id,success,time_s,steps
0000,False,4.700,48
0001,False,4.400,45
0002,False,4.900,50
0003,False,4.800,49
0004,False,4.200,43
0005,False,4.400,45
0006,False,4.900,50
0007,False,4.200,43
0008,False,4.500,46
0009,False,4.200,43
0010,False,4.200,43
0011,False,4.400,45
0012,False,4.700,48
0013,False,4.200,43
0014,False,4.700,48
0015,False,4.800,49
0016,False,4.700,48
0017,False,4.200,43
0018,False,4.300,44
0019,False,4.200,43
0020,False,4.200,43
0021,False,4.300,44
0022,False,4.300,44
0023,False,4.500,46
0024,False,4.500,46
0025,False,4.700,48
0026,False,4.900,50
0027,False,4.500,46
0028,False,4.200,43
0029,False,4.600,47
0030,False,4.300,44
0031,False,4.300,44
0032,False,4.800,49
0033,False,4.600,47
0034,False,4.200,43
0035,False,4.500,46
0036,False,4.700,48
0037,False,4.500,46
0038,False,4.300,44
0039,False,4.600,47
0040,False,4.300,44
0041,False,4.400,45
0042,False,4.200,43
0043,False,4.300,44
0044,False,4.400,45
0045,False,4.800,49
0046,False,4.200,43
0047,False,4.500,46
0048,False,4.600,47
0049,False,4.600,47
0050,False,4.300,44
0051,False,4.800,49
0052,False,4.500,46
0053,False,4.400,45
0054,False,4.500,46
0055,False,4.400,45
0056,False,4.700,48
0057,False,4.300,44
0058,False,4.900,50
0059,False,4.700,48
0060,False,4.800,49
0061,False,4.400,45
0062,False,4.900,50
0063,False,4.600,47
0064,False,4.900,50
0065,False,4.500,46
0066,False,4.100,42
0067,False,4.600,47
0068,False,4.900,50
0069,False,4.200,43
0070,False,4.300,44
0071,False,4.200,43
0072,False,4.600,47
0073,False,4.600,47
0074,False,4.400,45
0075,False,4.900,50
0076,False,4.500,46
0077,False,4.800,49
0078,False,4.600,47
0079,False,4.900,50
0080,False,4.800,49
0081,False,4.500,46
0082,False,4.300,44
0083,False,4.300,44
0084,False,4.800,49
0085,False,4.600,47
0086,False,4.200,43
0087,False,4.400,45
0088,False,4.200,43
0089,False,4.100,42
0090,False,4.300,44
0091,False,4.300,44
0092,False,4.100,42
0093,False,4.600,47
0094,False,4.200,43
0095,False,4.700,48
0096,False,4.500,46
0097,False,4.600,47
0098,False,5.000,51
0099,False,4.500,46
